Tipo de ativo;Ativo;Quant.;Preço Médio;Preço Atual;Variação;Rentabilidade;Vacância;Saldo;Saldo_Num;P/VP;DY;Nota;% Carteira;% Carteira_Num;% Ideal;% Ideal_Num;Comprar?
Ações/FIIs;VGIR11;188.0;R$ 9.43;R$ 9.43;0,00%;0,00%;0,00%;R$ 1772.84;1772.8400573730469;1.0;0,00%;10;52.35%;52.34866893718909;1.20%;1.2;Não
Ações/FIIs;BTLG11;16.0;R$ 100.86;R$ 100.86;0,00%;0,00%;0,00%;R$ 1613.76;1613.760009765625;1.0;0,00%;10;47.65%;47.65133106281091;1.20%;1.2;Não
