Ativo;Quantidade;Preco;PrecoAtual;Total
TTWO;1.77896897;US$ 223,92;235.97500610351562;419.7922135537149
MU;0.26003201;US$ 496,06;918.0499877929688;238.7223836062811
GOOGL;0.56522505;US$ 325,53;361.95001220703125;204.58321374721984
NVDA;0.90790385;US$ 191,65;221.72999572753906;201.30951678151627
KO;0.87605303;US$ 77,62;86.75;75.9976003525
WBD;2.7476594;US$ 27,21;25.7549991607666;70.76596554107246
JPM;0.07639784;US$ 314,14;360.6400146484375;27.552118136708984
JNJ;0.0702201;US$ 227,90;258.6400146484375;18.161727692614743
NEE;0.16489745;US$ 97,03;85.82499694824219;14.152323143022919
